quote_date,240020_Nav,519069_Nav,460005_Nav,161005_Nav,166005_Nav,163412_Nav,002001_Nav
2013-05-24,1.4160,1.8550,1.6116,3.2305,1.0990,1.2450,3.6100
2013-05-23,1.3930,1.8470,1.5939,3.2173,1.0910,1.2120,3.6040
2013-05-22,1.3790,1.8490,1.5962,3.2235,1.0950,1.2220,3.6070
2013-05-21,1.3730,1.8500,1.6218,3.2285,1.1010,1.2540,3.6180
2013-05-20,1.3510,1.8380,1.6068,3.2228,1.0950,1.2300,3.6210
2013-05-17,1.3790,1.8270,1.6075,3.2085,1.0810,1.2040,3.6190
2013-05-16,1.3780,1.8010,1.5954,3.1846,1.0650,1.1850,3.6090
2013-05-15,1.3760,1.7750,1.5956,3.1693,1.0540,1.1780,3.5980
2013-05-14,1.3490,1.7650,1.5660,3.1513,1.0430,1.1550,3.5840
2013-05-13,1.3610,1.7800,1.5796,3.1721,1.0530,1.1610,3.5950
2013-05-10,1.3560,1.7840,1.5803,3.1719,1.0520,1.1510,3.5970
2013-05-09,1.3660,1.7830,1.5844,3.1648,1.0490,1.1570,3.5960
2013-05-08,1.3700,1.7910,1.5800,3.1639,1.0520,1.1590,3.6010
2013-05-07,1.3480,1.7810,1.5646,3.1584,1.0460,1.1470,3.5920
2013-05-06,1.3550,1.7830,1.5630,3.1562,1.0460,1.1470,3.5930
2013-05-03,1.3360,1.7690,1.5464,3.1303,1.0320,1.1210,3.5810
2013-05-02,1.3040,1.7500,1.5271,3.1102,1.0200,1.0880,3.5600
2013-04-26,1.2760,1.7380,1.5115,3.1113,1.0150,1.0690,3.5510
2013-04-25,1.2970,1.7540,1.5224,3.1247,1.0250,1.0920,3.5600
2013-04-24,1.2970,1.7720,1.5449,3.1520,1.0380,1.1250,3.5680
2013-04-23,1.2660,1.7470,1.5282,3.1256,1.0180,1.0950,3.5520
2013-04-22,1.2890,1.7850,1.5541,3.1580,1.0440,1.1170,3.5760
2013-04-19,1.2810,1.7880,1.5466,3.1529,1.0380,1.0960,3.5720
2013-04-18,1.2650,1.7670,1.5305,3.1262,1.0140,1.0740,3.5540
2013-04-17,1.2690,1.7640,1.5309,3.1309,1.0110,1.0660,3.5540
2013-04-16,1.2400,1.7480,1.5189,3.1115,1.0010,1.0430,3.5380
2013-04-15,1.2330,1.7320,1.5076,3.1004,0.9920,1.0340,3.5330
2013-04-12,1.2380,1.7380,1.5111,3.1091,1.0030,1.0520,3.5410
2013-04-11,1.2410,1.7420,1.5131,3.1077,1.0070,1.0510,3.5360
2013-04-10,1.2460,1.7430,1.5136,3.1027,1.0090,1.0540,3.5340
2013-04-09,1.2730,1.7490,1.5259,3.1061,1.0100,1.0680,3.5420
2013-04-08,1.2940,1.7360,1.5313,3.0978,1.0000,1.0550,3.5420
2013-04-03,1.2740,1.7350,1.5215,3.1050,0.9950,1.0270,3.5310
2013-04-02,1.2790,1.7380,1.5274,3.1107,1.0050,1.0340,3.5390
2013-04-01,1.3280,1.7540,1.5552,3.1267,1.0180,1.0780,3.5620
2013-03-29,1.3240,1.7530,1.5501,3.1186,1.0100,1.0710,3.5570
2013-03-28,1.3260,1.7580,1.5500,3.1321,1.0140,1.0750,3.5650
2013-03-27,1.3400,1.7940,1.5765,3.1591,1.0390,1.1020,3.5850
2013-03-26,1.3180,1.7800,1.5665,3.1530,1.0390,1.0930,3.5800
2013-03-25,1.3190,1.7860,1.5712,3.1462,1.0450,1.0970,3.5750
2013-03-22,1.3260,1.7850,1.5756,3.1503,1.0480,1.1000,3.5760
2013-03-21,1.3140,1.7850,1.5698,3.1468,1.0450,1.0890,3.5780
2013-03-20,1.2970,1.7780,1.5616,3.1338,1.0380,1.0740,3.5660
2013-03-19,1.2730,1.7380,1.5384,3.1018,1.0080,1.0510,3.5400
2013-03-18,1.2870,1.7320,1.5396,3.0989,1.0050,1.0510,3.5390
2013-03-15,1.2970,1.7410,1.5416,3.1030,1.0160,1.0540,3.5350
2013-03-14,1.2850,1.7400,1.5329,3.0996,1.0150,1.0480,3.5300
2013-03-13,1.2590,1.7240,1.5198,3.0941,1.0120,1.0390,3.5200
2013-03-12,1.2590,1.7320,1.5257,3.1102,1.0190,1.0420,3.5280
2013-03-11,1.2950,1.7570,1.5445,3.1252,1.0380,1.0680,3.5410
2013-03-08,1.2850,1.7600,1.5416,3.1274,1.0400,1.0730,3.5430
2013-03-07,1.3100,1.7720,1.5553,3.1440,1.0500,1.0890,3.5560
2013-03-06,1.3470,1.7910,1.5809,3.1598,1.0640,1.1180,3.5740
2013-03-05,1.3240,1.7790,1.5748,3.1471,1.0500,1.1040,3.5570
2013-03-04,1.2790,1.7440,1.5520,3.1257,1.0230,1.0720,3.5280
2013-03-01,1.3000,1.8060,1.5803,3.1733,1.0600,1.1010,3.5510
2013-02-28,1.2790,1.7970,1.5613,3.1624,1.0520,1.0810,3.5430
2013-02-27,1.2660,1.7650,1.5324,3.1324,1.0340,1.0540,3.5220
